MANAGEMENT POLICY: First	POOL SIZE 1024 KB
Failed Req 89 is size 53152
Failed Req 217 is size 128224
Failed Req 226 is size 122592
Failed Req 302 is size 118560
Failed Req 346 is size 112864
Failed Req 350 is size 128160
Failed Req 556 is size 126048
Failed Req 634 is size 65696
Failed Req 635 is size 100448
Failed Req 873 is size 80736

TOTAL ALLOCATIONS: 490

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
126	alloc	82272		YES	306560		2		265824
127	free	102		YES	350112		2		265824
128	free	111		YES	381312		2		265824
129	alloc	124832		YES	256480		2		140992
130	alloc	45664		YES	210816		2		140992
131	free	114		YES	274464		2		140992
132	alloc	94432		YES	180032		2		140992
133	free	126		YES	262304		3		140992
134	free	124		YES	357056		4		140992
135	free	122		YES	448736		4		186432
136	alloc	44192		YES	404544		4		142240
137	free	132		YES	498976		4		142240
138	alloc	93856		YES	405120		4		142240
139	alloc	124064		YES	281056		4		140992

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
140	free	136		YES	325248		5		140992
141	free	118		YES	370080		6		140992
142	free	121		YES	450304		5		169248
143	alloc	24288		YES	426016		5		169248
144	free	117		YES	522496		4		281056
145	free	139		YES	646560		3		423296
146	free	125		YES	759936		2		618944
147	alloc	84000		YES	675936		2		534944
148	alloc	62688		YES	613248		2		472256
149	free	147		YES	697248		3		472256
150	free	129		YES	822080		2		738080
151	alloc	123104		YES	698976		2		614976
152	alloc	84384		YES	614592		2		530592
153	alloc	67936		YES	546656		2		530592
154	alloc	67872		YES	478784		2		462720
155	free	148		YES	541472		2		462720
156	free	130		YES	587136		3		462720
157	alloc	91104		YES	496032		3		371616
158	alloc	21280		YES	474752		3		371616
159	alloc	8480		YES	466272		3		371616

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
160	free	138		YES	560128		3		371616
161	alloc	27872		YES	532256		3		371616
162	alloc	30304		YES	501952		3		371616
163	alloc	44256		YES	457696		3		371616
164	free	158		YES	478976		4		371616
165	alloc	93408		YES	385568		4		278208
166	alloc	46368		YES	339200		4		278208
167	alloc	47584		YES	291616		4		230624
168	free	157		YES	382720		5		230624
169	free	163		YES	426976		5		230624
170	free	151		YES	550080		5		230624
171	free	143		YES	574368		5		230624
172	alloc	122528		YES	451840		5		230624
173	alloc	56800		YES	395040		5		230624
174	free	153		YES	462976		5		230624
175	free	154		YES	530848		5		230624
176	alloc	69984		YES	460864		5		230624
177	free	152		YES	545248		4		276320
178	alloc	92448		YES	452800		4		230624
179	alloc	18400		YES	434400		4		230624

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
180	free	161		YES	462272		5		230624
181	free	159		YES	470752		4		230624
182	free	172		YES	593280		5		230624
183	free	162		YES	623584		5		230624
184	alloc	74080		YES	549504		5		230624
185	alloc	114656		YES	434848		5		230624
186	alloc	93216		YES	341632		5		137408
187	alloc	103776		YES	237856		5		69536
188	alloc	3936		YES	233920		5		69216
189	free	166		YES	280288		5		69216
190	free	165		YES	373696		5		162624
191	free	176		YES	443680		5		162624
192	free	167		YES	491264		5		210208
193	alloc	94240		YES	397024		5		210208
194	free	186		YES	490240		5		303424
195	free	179		YES	508640		6		303424
196	alloc	112480		YES	396160		6		190944
197	free	173		YES	452960		6		190944
198	free	187		YES	556736		5		328352
199	alloc	102560		YES	454176		5		328352

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
200	alloc	91424		YES	362752		5		236928
201	alloc	69472		YES	293280		5		167456
202	alloc	15328		YES	277952		5		167456
203	alloc	14240		YES	263712		5		167456
204	alloc	105760		YES	157952		5		61696
205	free	178		YES	250400		5		140896
206	free	184		YES	324480		4		254112
207	alloc	80608		YES	243872		4		173504
208	alloc	101536		YES	142336		4		71968
209	free	200		YES	233760		5		91424
210	alloc	63648		YES	170112		5		91424
211	free	196		YES	282592		5		203904
212	alloc	46304		YES	236288		5		157600
213	alloc	112480		YES	123808		5		61696
214	free	185		YES	238464		5		122976
215	free	188		YES	242400		5		122976
216	alloc	48992		YES	193408		5		73984
217	alloc	128224		NO	193408		5		73984
218	alloc	65568		YES	127840		5		61696
219	alloc	14816		YES	113024		5		61696

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
220	free	202		YES	128352		5		61696
221	free	212		YES	174656		5		61696
222	free	193		YES	268896		5		99840
223	free	210		YES	332544		6		99840
224	free	219		YES	347360		6		99840
225	free	201		YES	416832		6		114592
226	alloc	122592		NO	416832		6		114592
227	alloc	16480		YES	400352		6		114592
228	free	208		YES	501888		6		165184
229	free	199		YES	604448		6		165184
230	alloc	122080		YES	482368		6		114592
231	free	203		YES	496608		5		222496
232	free	213		YES	609088		4		281792
233	free	204		YES	714848		3		449248
234	alloc	116000		YES	598848		3		449248
235	alloc	65824		YES	533024		3		449248
236	alloc	110944		YES	422080		3		338304
237	free	207		YES	502688		3		338304
238	alloc	36192		YES	466496		3		338304
239	alloc	58336		YES	408160		3		338304

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
240	free	216		YES	457152		3		338304
241	free	226		NO	457152		3		338304
242	free	234		YES	573152		4		338304
243	alloc	57184		YES	515968		4		338304
244	free	227		YES	532448		5		338304
245	free	218		YES	598016		5		338304
246	free	217		NO	598016		5		338304
247	alloc	105632		YES	492384		5		338304
248	alloc	121056		YES	371328		5		217248
249	free	248		YES	492384		5		338304
250	free	230		YES	614464		5		338304
251	alloc	42080		YES	572384		5		338304
252	alloc	87328		YES	485056		5		338304
253	alloc	8352		YES	476704		5		338304
254	alloc	48416		YES	428288		5		338304
255	free	247		YES	533920		4		338304
256	free	251		YES	576000		4		338304
257	alloc	17312		YES	558688		4		338304
258	free	243		YES	615872		4		338304
259	alloc	63136		YES	552736		4		338304

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
260	free	236		YES	663680		3		620000
261	free	235		YES	729504		3		620000
262	alloc	47328		YES	682176		3		620000
263	free	238		YES	718368		3		620000
264	free	239		YES	776704		3		620000
265	alloc	52256		YES	724448		3		620000
266	alloc	118048		YES	606400		3		501952
267	alloc	98656		YES	507744		3		501952
268	alloc	11552		YES	496192		3		490400
269	alloc	125344		YES	370848		3		365056
270	free	257		YES	388160		3		365056
271	alloc	116064		YES	272096		3		248992
272	alloc	69664		YES	202432		3		179328
273	free	271		YES	318496		4		179328
274	free	254		YES	366912		5		179328
275	alloc	114976		YES	251936		5		179328
276	alloc	44064		YES	207872		5		179328
277	free	253		YES	216224		6		179328
278	alloc	39520		YES	176704		6		139808
279	alloc	106784		YES	69920		6		33024

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
280	free	262		YES	117248		6		66816
281	free	252		YES	204576		6		90944
282	free	259		YES	267712		5		138304
283	alloc	24096		YES	243616		5		114208
284	alloc	71968		YES	171648		5		90944
285	free	276		YES	215712		4		139360
286	alloc	58976		YES	156736		4		80384
287	free	272		YES	226400		4		80384
288	free	267		YES	325056		5		98656
289	free	269		YES	450400		6		125344
290	free	279		YES	557184		6		139808
291	free	265		YES	609440		5		193152
292	alloc	111008		YES	498432		5		139808
293	free	268		YES	509984		5		139808
294	alloc	42336		YES	467648		5		139808
295	alloc	121184		YES	346464		5		139808
296	free	266		YES	464512		5		198432
297	alloc	26848		YES	437664		5		198432
298	alloc	77216		YES	360448		5		139808
299	alloc	103776		YES	256672		5		139808

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
300	alloc	120480		YES	136192		5		70752
301	free	284		YES	208160		6		71968
302	alloc	118560		NO	208160		6		71968
303	alloc	42080		YES	166080		6		70752
304	free	275		YES	281056		5		201440
305	free	278		YES	320576		5		240960
306	free	294		YES	362912		6		240960
307	alloc	72992		YES	289920		6		167968
308	free	302		NO	289920		6		167968
309	alloc	44512		YES	245408		6		123456
310	free	300		YES	365888		5		263264
311	alloc	32224		YES	333664		5		263264
312	alloc	87648		YES	246016		5		175616
313	free	283		YES	270112		6		175616
314	alloc	32352		YES	237760		6		143264
315	free	286		YES	296736		6		143264
316	free	297		YES	323584		5		143264
317	free	292		YES	434592		5		143264
318	alloc	63584		YES	371008		5		143264
319	free	303		YES	413088		5		143264

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
320	alloc	30624		YES	382464		5		143264
321	alloc	18336		YES	364128		5		143264
322	free	295		YES	485312		5		143264
323	free	309		YES	529824		6		143264
324	alloc	224		YES	529600		6		143264
325	free	299		YES	633376		6		242400
326	alloc	113760		YES	519616		6		143264
327	free	298		YES	596832		6		186112
328	alloc	12960		YES	583872		6		186112
329	alloc	46688		YES	537184		6		186112
330	alloc	44128		YES	493056		6		143264
331	alloc	86176		YES	406880		6		143264
332	alloc	109792		YES	297088		6		143264
333	free	314		YES	329440		6		175616
334	alloc	74784		YES	254656		6		100832
335	free	307		YES	327648		5		136352
336	alloc	1376		YES	326272		5		136352
337	free	326		YES	440032		5		169568
338	free	320		YES	470656		6		169568
339	free	311		YES	502880		6		169568

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
340	free	312		YES	590528		6		224000
341	alloc	50848		YES	539680		6		224000
342	alloc	80800		YES	458880		6		224000
343	free	318		YES	522464		6		224000
344	free	328		YES	535424		7		224000
345	alloc	117088		YES	418336		7		106912
346	alloc	112864		NO	418336		7		106912
347	alloc	3616		YES	414720		7		106912
348	free	324		YES	414944		7		106912
349	alloc	56224		YES	358720		7		106912
350	alloc	128160		NO	358720		7		106912
351	free	321		YES	377056		6		106912
352	alloc	85472		YES	291584		6		106912
353	free	330		YES	335712		6		106912
354	alloc	55456		YES	280256		6		106912
355	free	329		YES	326944		6		106912
356	free	334		YES	401728		5		282528
357	free	336		YES	403104		5		282528
358	free	332		YES	512896		5		282528
359	free	331		YES	599072		5		282528

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
360	alloc	23264		YES	575808		5		282528
361	free	341		YES	626656		4		282528
362	free	342		YES	707456		4		307392
363	free	345		YES	824544		3		512704
364	alloc	37792		YES	786752		3		512704
365	free	347		YES	790368		4		512704
366	free	360		YES	813632		5		512704
367	free	349		YES	869856		4		512704
368	alloc	69728		YES	800128		4		512704
369	alloc	2208		YES	797920		4		512704
370	alloc	6368		YES	791552		4		512704
371	alloc	40608		YES	750944		4		512704
372	alloc	103328		YES	647616		4		512704
373	alloc	53280		YES	594336		4		512704
374	free	346		NO	594336		4		512704
375	alloc	87200		YES	507136		4		425504
376	free	368		YES	576864		5		425504
377	alloc	70752		YES	506112		5		425504
378	alloc	68832		YES	437280		5		425504
379	free	352		YES	522752		5		425504

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
380	free	350		NO	522752		5		425504
381	alloc	36000		YES	486752		5		425504
382	free	354		YES	542208		5		425504
383	free	364		YES	580000		5		425504
384	alloc	117344		YES	462656		5		308160
385	alloc	46176		YES	416480		5		308160
386	free	375		YES	503680		5		308160
387	alloc	83872		YES	419808		5		308160
388	free	371		YES	460416		5		308160
389	alloc	118112		YES	342304		5		190048
390	free	381		YES	378304		6		190048
391	free	372		YES	481632		6		190048
392	alloc	91808		YES	389824		6		190048
393	free	373		YES	443104		6		190048
394	alloc	40608		YES	402496		6		190048
395	alloc	27040		YES	375456		6		190048
396	free	389		YES	493568		6		308160
397	free	370		YES	499936		6		308160
398	free	369		YES	502144		7		308160
399	alloc	37344		YES	464800		7		308160

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
400	alloc	45152		YES	419648		7		308160
401	alloc	21152		YES	398496		7		308160
402	alloc	107168		YES	291328		7		200992
403	alloc	72416		YES	218912		7		128576
404	free	387		YES	302784		6		153152
405	free	377		YES	373536		6		153152
406	alloc	30944		YES	342592		6		153152
407	free	378		YES	411424		5		153152
408	alloc	66208		YES	345216		5		153152
409	alloc	108512		YES	236704		5		128576
410	free	400		YES	281856		6		128576
411	free	392		YES	373664		6		128576
412	alloc	64160		YES	309504		6		128576
413	free	385		YES	355680		6		128576
414	free	384		YES	473024		6		161984
415	alloc	22304		YES	450720		6		161984
416	free	401		YES	471872		6		161984
417	alloc	28896		YES	442976		6		161984
418	free	395		YES	470016		7		161984
419	free	399		YES	507360		6		161984

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
420	free	394		YES	547968		5		169472
421	free	403		YES	620384		5		200992
422	free	408		YES	686592		5		200992
423	alloc	61856		YES	624736		5		200992
424	free	402		YES	731904		4		470144
425	free	406		YES	762848		3		470144
426	alloc	54688		YES	708160		3		470144
427	alloc	7648		YES	700512		3		470144
428	alloc	85728		YES	614784		3		470144
429	alloc	111136		YES	503648		3		470144
430	free	417		YES	532544		4		470144
431	free	426		YES	587232		4		470144
432	free	415		YES	609536		5		470144
433	alloc	10784		YES	598752		5		470144
434	alloc	95520		YES	503232		5		374624
435	free	423		YES	565088		5		374624
436	free	409		YES	673600		5		374624
437	free	429		YES	784736		5		374624
438	alloc	67104		YES	717632		5		374624
439	alloc	129184		YES	588448		5		374624

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
440	free	412		YES	652608		4		374624
441	free	433		YES	663392		5		374624
442	alloc	7904		YES	655488		5		374624
443	free	428		YES	741216		5		374624
444	alloc	18784		YES	722432		5		374624
445	alloc	40032		YES	682400		5		374624
446	alloc	119200		YES	563200		5		374624
447	alloc	28384		YES	534816		5		374624
448	alloc	103264		YES	431552		5		271360
449	alloc	74464		YES	357088		5		271360
450	alloc	3936		YES	353152		5		271360
451	free	439		YES	482336		5		271360
452	alloc	13728		YES	468608		5		271360
453	free	442		YES	476512		5		271360
454	free	438		YES	543616		5		271360
455	alloc	89696		YES	453920		5		271360
456	free	446		YES	573120		6		271360
457	free	427		YES	580768		6		271360
458	free	449		YES	655232		5		271360
459	free	448		YES	758496		5		374624

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
460	alloc	96224		YES	662272		5		374624
461	alloc	114784		YES	547488		5		374624
462	free	455		YES	637184		6		374624
463	free	445		YES	677216		7		374624
464	free	434		YES	772736		6		532160
465	alloc	47200		YES	725536		6		532160
466	alloc	45152		YES	680384		6		532160
467	free	450		YES	684320		5		532160
468	alloc	11680		YES	672640		5		532160
469	alloc	91040		YES	581600		5		441120
470	free	468		YES	593280		5		441120
471	alloc	126944		YES	466336		5		314176
472	free	447		YES	494720		5		314176
473	free	471		YES	621664		5		441120
474	free	444		YES	640448		4		441120
475	alloc	105248		YES	535200		4		335872
476	alloc	111264		YES	423936		4		224608
477	free	460		YES	520160		3		251008
478	alloc	54624		YES	465536		3		224608
479	free	452		YES	479264		3		224608

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
480	free	469		YES	570304		4		224608
481	free	466		YES	615456		3		299808
482	free	476		YES	726720		3		335872
483	free	461		YES	841504		2		505632
484	alloc	115872		YES	725632		2		389760
485	alloc	97376		YES	628256		2		335872
486	alloc	71264		YES	556992		2		335872
487	alloc	30880		YES	526112		2		335872
488	alloc	34016		YES	492096		2		335872
489	alloc	121504		YES	370592		2		335872
490	alloc	34784		YES	335808		2		301088
491	free	465		YES	383008		3		301088
492	alloc	41248		YES	341760		3		301088
493	alloc	63904		YES	277856		3		237184
494	free	489		YES	399360		3		237184
495	alloc	127520		YES	271840		3		237184
496	free	492		YES	313088		3		237184
497	free	486		YES	384352		4		237184
498	free	478		YES	438976		4		237184
499	free	484		YES	554848		4		237184

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
500	alloc	33760		YES	521088		4		237184
501	free	475		YES	626336		4		237184
502	alloc	78112		YES	548224		4		237184
503	free	495		YES	675744		4		261472
504	alloc	40928		YES	634816		4		261472
505	alloc	32800		YES	602016		4		261472
506	alloc	17568		YES	584448		4		261472
507	free	493		YES	648352		4		301088
508	free	485		YES	745728		3		301088
509	free	487		YES	776608		3		301088
510	free	488		YES	810624		2		509536
511	alloc	32672		YES	777952		2		476864
512	alloc	93280		YES	684672		2		383584
513	free	500		YES	718432		3		383584
514	alloc	129056		YES	589376		3		301088
515	free	505		YES	622176		4		301088
516	free	506		YES	639744		4		301088
517	free	490		YES	674528		3		590400
518	alloc	123872		YES	550656		3		466528
519	alloc	40160		YES	510496		3		466528

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
520	alloc	108320		YES	402176		3		358208
521	alloc	14752		YES	387424		3		358208
522	alloc	92512		YES	294912		3		265696
523	free	518		YES	418784		4		265696
524	free	514		YES	547840		4		265696
525	free	504		YES	588768		5		265696
526	free	520		YES	697088		5		361248
527	alloc	71904		YES	625184		5		289344
528	alloc	32608		YES	592576		5		289344
529	free	502		YES	670688		5		289344
530	alloc	19360		YES	651328		5		289344
531	alloc	76256		YES	575072		5		289344
532	alloc	83040		YES	492032		5		265696
533	free	511		YES	524704		5		265696
534	free	522		YES	617216		4		564512
535	alloc	117408		YES	499808		4		447104
536	alloc	103520		YES	396288		4		343584
537	alloc	55584		YES	340704		4		288000
538	alloc	35168		YES	305536		4		288000
539	free	521		YES	320288		5		288000

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
540	free	538		YES	355456		5		288000
541	free	512		YES	448736		5		288000
542	alloc	57888		YES	390848		5		288000
543	free	519		YES	431008		5		288000
544	alloc	105312		YES	325696		5		182688
545	free	531		YES	401952		5		182688
546	alloc	23584		YES	378368		5		182688
547	alloc	95584		YES	282784		5		87104
548	free	546		YES	306368		5		87104
549	alloc	33632		YES	272736		5		87104
550	free	527		YES	344640		5		150176
551	alloc	117344		YES	227296		5		87104
552	free	528		YES	259904		4		125216
553	free	530		YES	279264		4		125216
554	alloc	49888		YES	229376		4		87104
555	free	554		YES	279264		4		125216
556	alloc	126048		NO	279264		4		125216
557	free	547		YES	374848		4		182688
558	free	556		NO	374848		4		182688
559	free	535		YES	492256		5		182688

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
560	free	532		YES	575296		4		233280
561	alloc	76064		YES	499232		4		233280
562	alloc	36832		YES	462400		4		233280
563	free	542		YES	520288		4		233280
564	free	544		YES	625600		4		288000
565	free	537		YES	681184		4		343584
566	free	536		YES	784704		3		680384
567	alloc	71008		YES	713696		3		609376
568	alloc	8672		YES	705024		3		609376
569	free	551		YES	822368		3		609376
570	alloc	49760		YES	772608		3		609376
571	alloc	94816		YES	677792		3		609376
572	free	571		YES	772608		3		609376
573	alloc	127328		YES	645280		3		609376
574	free	562		YES	682112		4		609376
575	free	561		YES	758176		4		609376
576	alloc	72992		YES	685184		4		609376
577	free	549		YES	718816		4		609376
578	free	573		YES	846144		4		609376
579	alloc	93408		YES	752736		4		609376

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
580	alloc	81568		YES	671168		4		527808
581	alloc	100960		YES	570208		4		426848
582	alloc	52576		YES	517632		4		426848
583	alloc	69664		YES	447968		4		357184
584	alloc	75040		YES	372928		4		282144
585	free	584		YES	447968		4		357184
586	alloc	82656		YES	365312		4		274528
587	alloc	72864		YES	292448		4		201664
588	free	567		YES	363456		4		201664
589	alloc	62432		YES	301024		4		201664
590	alloc	53280		YES	247744		4		148384
591	alloc	48992		YES	198752		4		148384
592	alloc	58208		YES	140544		4		90176
593	free	579		YES	233952		5		93408
594	free	570		YES	283712		4		183072
595	free	589		YES	346144		4		245504
596	free	568		YES	354816		5		245504
597	free	591		YES	403808		4		298464
598	free	587		YES	476672		5		298464
599	alloc	55456		YES	421216		5		243008

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
600	alloc	35232		YES	385984		5		207776
601	free	576		YES	458976		5		207776
602	free	600		YES	494208		5		243008
603	alloc	1824		YES	492384		5		243008
604	alloc	65568		YES	426816		5		243008
605	alloc	57440		YES	369376		5		185568
606	free	603		YES	371200		5		185568
607	free	580		YES	452768		5		267136
608	free	582		YES	505344		5		267136
609	alloc	24288		YES	481056		5		267136
610	alloc	91040		YES	390016		5		176096
611	free	581		YES	490976		5		277056
612	alloc	102944		YES	388032		5		174112
613	free	583		YES	457696		5		243776
614	alloc	78304		YES	379392		5		165472
615	free	586		YES	462048		4		320992
616	free	599		YES	517504		4		320992
617	alloc	98528		YES	418976		4		222464
618	alloc	54304		YES	364672		4		222464
619	free	590		YES	417952		4		275744

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
620	free	592		YES	476160		3		424128
621	alloc	126240		YES	349920		3		297888
622	free	609		YES	374208		3		297888
623	alloc	97568		YES	276640		3		200320
624	free	605		YES	334080		3		200320
625	free	618		YES	388384		3		200320
626	alloc	78560		YES	309824		3		200320
627	alloc	57952		YES	251872		3		200320
628	free	604		YES	317440		3		200320
629	alloc	81184		YES	236256		3		119136
630	free	610		YES	327296		3		139296
631	alloc	76000		YES	251296		3		119136
632	alloc	108896		YES	142400		3		68864
633	alloc	15136		YES	127264		3		63296
634	alloc	65696		NO	127264		3		63296
635	alloc	100448		NO	127264		3		63296
636	free	626		YES	205824		3		132288
637	free	623		YES	303392		4		132288
638	free	633		YES	318528		4		147424
639	free	617		YES	417056		5		147424

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
640	free	612		YES	520000		5		166240
641	alloc	67424		YES	452576		5		166240
642	free	634		NO	452576		5		166240
643	free	614		YES	530880		4		343072
644	alloc	15648		YES	515232		4		343072
645	alloc	19744		YES	495488		4		343072
646	alloc	117536		YES	377952		4		225536
647	free	621		YES	504192		3		449344
648	free	641		YES	571616		4		449344
649	free	629		YES	652800		4		530528
650	alloc	76512		YES	576288		4		454016
651	alloc	80928		YES	495360		4		373088
652	alloc	41568		YES	453792		4		373088
653	free	635		NO	453792		4		373088
654	alloc	48608		YES	405184		4		324480
655	free	631		YES	481184		4		324480
656	free	627		YES	539136		5		324480
657	free	632		YES	648032		4		443616
658	alloc	55712		YES	592320		4		443616
659	free	645		YES	612064		4		443616

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
660	free	658		YES	667776		4		443616
