MANAGEMENT POLICY: Best	POOL SIZE 1024 KB
Failed Req 217 is size 128224
Failed Req 302 is size 118560
Failed Req 350 is size 128160
Failed Req 556 is size 126048
Failed Req 592 is size 58208
Failed Req 634 is size 65696
Failed Req 635 is size 100448
Failed Req 873 is size 80736

TOTAL ALLOCATIONS: 492

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
147	alloc	84000		YES	675936		3		421632
148	alloc	62688		YES	613248		3		421632
149	free	147		YES	697248		4		421632
150	free	129		YES	822080		4		546464
151	alloc	123104		YES	698976		4		546464
152	alloc	84384		YES	614592		4		462080
153	alloc	67936		YES	546656		4		462080
154	alloc	67872		YES	478784		4		394208
155	free	148		YES	541472		4		394208
156	free	130		YES	587136		4		394208
157	alloc	91104		YES	496032		4		303104
158	alloc	21280		YES	474752		4		303104
159	alloc	8480		YES	466272		4		303104

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
160	free	138		YES	560128		4		396960
161	alloc	27872		YES	532256		4		396960
162	alloc	30304		YES	501952		4		396960
163	alloc	44256		YES	457696		4		396960
164	free	158		YES	478976		4		396960
165	alloc	93408		YES	385568		4		303552
166	alloc	46368		YES	339200		4		257184
167	alloc	47584		YES	291616		4		209600
168	free	157		YES	382720		5		209600
169	free	163		YES	426976		5		209600
170	free	151		YES	550080		4		224288
171	free	143		YES	574368		3		258976
172	alloc	122528		YES	451840		3		258976
173	alloc	56800		YES	395040		3		258976
174	free	153		YES	462976		4		258976
175	free	154		YES	530848		5		258976
176	alloc	69984		YES	460864		5		258976
177	free	152		YES	545248		4		258976
178	alloc	92448		YES	452800		4		258976
179	alloc	18400		YES	434400		4		258976

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
180	free	161		YES	462272		5		258976
181	free	159		YES	470752		4		258976
182	free	172		YES	593280		5		258976
183	free	162		YES	623584		4		258976
184	alloc	74080		YES	549504		4		258976
185	alloc	114656		YES	434848		4		258976
186	alloc	93216		YES	341632		4		258976
187	alloc	103776		YES	237856		4		155200
188	alloc	3936		YES	233920		4		155200
189	free	166		YES	280288		5		155200
190	free	165		YES	373696		4		155200
191	free	176		YES	443680		4		155200
192	free	167		YES	491264		4		199328
193	alloc	94240		YES	397024		4		199328
194	free	186		YES	490240		5		199328
195	free	179		YES	508640		6		199328
196	alloc	112480		YES	396160		6		199328
197	free	173		YES	452960		5		199328
198	free	187		YES	556736		5		303104
199	alloc	102560		YES	454176		5		200544

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
200	alloc	91424		YES	362752		5		200544
201	alloc	69472		YES	293280		5		200544
202	alloc	15328		YES	277952		5		200544
203	alloc	14240		YES	263712		5		200544
204	alloc	105760		YES	157952		5		94784
205	free	178		YES	250400		5		103200
206	free	184		YES	324480		5		177280
207	alloc	80608		YES	243872		5		177280
208	alloc	101536		YES	142336		5		75744
209	free	200		YES	233760		4		168448
210	alloc	63648		YES	170112		4		104800
211	free	196		YES	282592		3		169376
212	alloc	46304		YES	236288		3		169376
213	alloc	112480		YES	123808		3		58496
214	free	185		YES	238464		4		114656
215	free	188		YES	242400		4		114656
216	alloc	48992		YES	193408		4		114656
217	alloc	128224		NO	193408		4		114656
218	alloc	65568		YES	127840		4		62432
219	alloc	14816		YES	113024		4		62432

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
220	free	202		YES	128352		4		62432
221	free	212		YES	174656		4		108736
222	free	193		YES	268896		4		117984
223	free	210		YES	332544		4		172384
224	free	219		YES	347360		4		172384
225	free	201		YES	416832		3		236544
226	alloc	122592		YES	294240		3		236544
227	alloc	16480		YES	277760		3		236544
228	free	208		YES	379296		4		236544
229	free	199		YES	481856		4		236544
230	alloc	122080		YES	359776		4		236544
231	free	203		YES	374016		3		352320
232	free	213		YES	486496		4		352320
233	free	204		YES	592256		4		352320
234	alloc	116000		YES	476256		4		352320
235	alloc	65824		YES	410432		4		352320
236	alloc	110944		YES	299488		4		241376
237	free	207		YES	380096		4		241376
238	alloc	36192		YES	343904		4		241376
239	alloc	58336		YES	285568		4		241376

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
240	free	216		YES	334560		3		241376
241	free	226		YES	457152		3		363968
242	free	234		YES	573152		4		363968
243	alloc	57184		YES	515968		4		363968
244	free	227		YES	532448		4		380448
245	free	218		YES	598016		5		380448
246	free	217		NO	598016		5		380448
247	alloc	105632		YES	492384		5		380448
248	alloc	121056		YES	371328		5		259392
249	free	248		YES	492384		5		380448
250	free	230		YES	614464		5		502528
251	alloc	42080		YES	572384		5		502528
252	alloc	87328		YES	485056		5		415200
253	alloc	8352		YES	476704		5		415200
254	alloc	48416		YES	428288		5		366784
255	free	247		YES	533920		4		482784
256	free	251		YES	576000		4		482784
257	alloc	17312		YES	558688		4		482784
258	free	243		YES	615872		5		482784
