MANAGEMENT POLICY: Best	POOL SIZE 1024 KB
Failed Req 217 is size 128224
Failed Req 302 is size 118560
Failed Req 350 is size 128160
Failed Req 556 is size 126048
Failed Req 592 is size 58208
Failed Req 634 is size 65696
Failed Req 635 is size 100448
Failed Req 873 is size 80736

TOTAL ALLOCATIONS: 492

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
636	free	626		YES	205824		5		78560
637	free	623		YES	303392		5		176128
638	free	633		YES	318528		5		176128
639	free	617		YES	417056		6		176128

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
640	free	612		YES	520000		5		205760
641	alloc	67424		YES	452576		5		205760
642	free	634		NO	452576		5		205760
643	free	614		YES	530880		5		284064
644	alloc	15648		YES	515232		5		284064
645	alloc	19744		YES	495488		5		284064
646	alloc	117536		YES	377952		5		284064
647	free	621		YES	504192		5		284064
648	free	641		YES	571616		5		351488
649	free	629		YES	652800		5		351488
650	alloc	76512		YES	576288		5		351488
651	alloc	80928		YES	495360		5		351488
652	alloc	41568		YES	453792		5		351488
653	free	635		NO	453792		5		351488
654	alloc	48608		YES	405184		5		351488
655	free	631		YES	481184		5		351488
656	free	627		YES	539136		4		351488
657	free	632		YES	648032		4		460384
658	alloc	55712		YES	592320		4		460384
659	free	645		YES	612064		4		480128

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
660	free	658		YES	667776		4		480128
661	alloc	27296		YES	640480		4		480128
662	free	646		YES	758016		4		480128
663	alloc	127584		YES	630432		4		480128
664	alloc	12704		YES	617728		4		480128
665	free	644		YES	633376		4		480128
666	free	652		YES	674944		4		480128
667	alloc	105632		YES	569312		4		480128
668	free	651		YES	650240		4		480128
669	free	667		YES	755872		4		480128
670	alloc	53664		YES	702208		4		480128
671	alloc	30752		YES	671456		4		480128
672	free	670		YES	725120		4		480128
673	alloc	51552		YES	673568		4		480128
674	alloc	59232		YES	614336		4		480128
675	free	654		YES	662944		4		480128
676	alloc	126816		YES	536128		4		353312
677	free	664		YES	548832		4		353312
678	alloc	54688		YES	494144		4		353312
679	alloc	9760		YES	484384		4		353312

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
680	free	650		YES	560896		4		429824
681	alloc	111456		YES	449440		4		429824
682	alloc	28896		YES	420544		4		400928
683	alloc	45088		YES	375456		4		355840
684	free	671		YES	406208		5		355840
685	alloc	11040		YES	395168		5		355840
686	free	663		YES	522752		4		355840
687	alloc	52000		YES	470752		4		355840
688	alloc	16736		YES	454016		4		355840
689	alloc	62816		YES	391200		4		355840
690	free	688		YES	407936		5		355840
691	free	661		YES	435232		5		355840
692	free	674		YES	494464		6		355840
693	free	673		YES	546016		5		466624
694	alloc	3040		YES	542976		5		466624
695	alloc	56672		YES	486304		5		409952
696	alloc	31584		YES	454720		5		378368
697	free	682		YES	483616		6		378368
698	free	683		YES	528704		6		378368
699	free	679		YES	538464		5		378368

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
700	free	681		YES	649920		5		489824
701	alloc	81888		YES	568032		5		407936
702	free	685		YES	579072		5		418976
703	alloc	44320		YES	534752		5		418976
704	alloc	75040		YES	459712		5		343936
705	free	676		YES	586528		5		343936
706	free	678		YES	641216		4		343936
707	alloc	113376		YES	527840		4		343936
708	free	703		YES	572160		4		343936
709	alloc	21472		YES	550688		4		343936
710	alloc	19744		YES	530944		4		343936
711	free	687		YES	582944		4		395936
712	free	694		YES	585984		3		412672
713	alloc	123936		YES	462048		3		412672
714	alloc	117664		YES	344384		3		295008
715	free	701		YES	426272		4		295008
716	free	689		YES	489088		4		357824
717	alloc	71712		YES	417376		4		357824
718	free	707		YES	530752		5		357824
719	alloc	31584		YES	499168		5		357824

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
720	free	695		YES	555840		5		357824
721	alloc	114592		YES	441248		5		243232
722	free	717		YES	512960		5		243232
723	alloc	608		YES	512352		5		243232
724	alloc	19360		YES	492992		5		243232
725	alloc	58592		YES	434400		5		243232
726	free	696		YES	465984		5		243232
727	free	709		YES	487456		5		243232
728	free	725		YES	546048		4		243232
729	alloc	51360		YES	494688		4		243232
730	free	713		YES	618624		4		367168
731	free	704		YES	693664		4		367168
732	free	710		YES	713408		4		367168
733	alloc	22112		YES	691296		4		367168
734	alloc	108960		YES	582336		4		367168
735	alloc	18016		YES	564320		4		367168
736	alloc	24864		YES	539456		4		367168
737	alloc	92064		YES	447392		4		367168
738	free	734		YES	556352		5		367168
739	alloc	88800		YES	467552		5		367168

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
740	free	721		YES	582144		5		481760
741	alloc	27296		YES	554848		5		481760
742	free	719		YES	586432		5		481760
743	free	714		YES	704096		4		638848
744	free	723		YES	704704		3		642016
745	free	739		YES	793504		3		642016
746	alloc	99040		YES	694464		3		642016
747	free	724		YES	713824		3		642016
748	free	733		YES	735936		4		642016
749	alloc	117920		YES	618016		4		524096
750	free	746		YES	717056		3		524096
751	free	737		YES	809120		3		524096
752	free	735		YES	827136		3		524096
753	alloc	76064		YES	751072		3		524096
754	free	729		YES	802432		3		524096
755	alloc	38816		YES	763616		3		524096
756	alloc	32544		YES	731072		3		524096
757	free	753		YES	807136		3		524096
758	alloc	22880		YES	784256		3		524096
759	free	736		YES	809120		3		524096

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
760	alloc	56096		YES	753024		3		524096
761	alloc	31328		YES	721696		3		524096
762	alloc	3360		YES	718336		3		524096
763	free	758		YES	741216		4		524096
764	alloc	105696		YES	635520		4		524096
765	alloc	97952		YES	537568		4		426144
766	free	749		YES	655488		4		426144
767	free	741		YES	682784		3		426144
768	alloc	19808		YES	662976		3		426144
769	alloc	18272		YES	644704		3		426144
770	alloc	115680		YES	529024		3		426144
771	alloc	53984		YES	475040		3		426144
772	free	770		YES	590720		4		426144
773	free	755		YES	629536		5		426144
774	alloc	112032		YES	517504		5		426144
775	alloc	5792		YES	511712		5		426144
776	free	761		YES	543040		6		426144
777	free	756		YES	575584		5		426144
778	free	775		YES	581376		5		426144
779	alloc	28384		YES	552992		5		426144

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
780	alloc	121824		YES	431168		5		304320
781	free	769		YES	449440		5		304320
782	free	768		YES	469248		5		304320
783	alloc	15456		YES	453792		5		304320
784	free	765		YES	551744		5		304320
785	free	783		YES	567200		5		304320
786	free	764		YES	672896		6		304320
787	alloc	17824		YES	655072		6		304320
788	free	774		YES	767104		5		304320
789	alloc	16736		YES	750368		5		304320
790	free	760		YES	806464		4		304320
791	free	762		YES	809824		4		304320
792	alloc	81376		YES	728448		4		304320
793	alloc	39328		YES	689120		4		304320
794	alloc	34592		YES	654528		4		304320
795	free	771		YES	708512		4		357376
796	alloc	124896		YES	583616		4		357376
797	free	793		YES	622944		4		357376
798	alloc	69856		YES	553088		4		357376
799	alloc	92640		YES	460448		4		357376

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
800	free	779		YES	488832		5		357376
801	free	789		YES	505568		5		374112
802	alloc	126624		YES	378944		5		247488
803	alloc	16864		YES	362080		5		247488
804	free	799		YES	454720		6		247488
805	free	792		YES	536096		5		371936
806	free	780		YES	657920		5		493760
807	alloc	39520		YES	618400		5		493760
808	alloc	4128		YES	614272		5		493760
809	free	803		YES	631136		4		493760
810	free	787		YES	648960		4		493760
811	alloc	125984		YES	522976		4		367776
812	alloc	107040		YES	415936		4		367776
813	alloc	123808		YES	292128		4		243968
814	alloc	77088		YES	215040		4		166880
815	free	813		YES	338848		5		166880
816	free	802		YES	465472		5		166880
817	free	798		YES	535328		6		166880
818	free	807		YES	574848		6		187520
819	alloc	82912		YES	491936		6		187520

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
820	alloc	51552		YES	440384		6		187520
821	alloc	67360		YES	373024		6		187520
822	free	794		YES	407616		5		246368
823	alloc	76000		YES	331616		5		246368
824	alloc	23840		YES	307776		5		246368
825	free	796		YES	432672		5		246368
826	free	823		YES	508672		5		246368
827	alloc	38112		YES	470560		5		246368
828	alloc	110112		YES	360448		5		246368
829	free	821		YES	427808		6		246368
830	free	828		YES	537920		6		246368
831	free	808		YES	542048		6		250496
832	alloc	2656		YES	539392		6		250496
833	free	832		YES	542048		6		250496
834	alloc	120352		YES	421696		6		250496
835	alloc	80864		YES	340832		6		169632
836	alloc	48544		YES	292288		6		169632
837	free	811		YES	418272		6		295616
838	alloc	18784		YES	399488		6		295616
839	alloc	50592		YES	348896		6		245024

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
840	free	812		YES	455936		5		245024
841	alloc	54880		YES	401056		5		245024
842	free	814		YES	478144		5		245024
843	free	820		YES	529696		5		245024
844	free	834		YES	650048		6		245024
845	free	819		YES	732960		6		327936
846	alloc	103264		YES	629696		6		327936
847	alloc	114464		YES	515232		6		213472
848	free	846		YES	618496		6		213472
849	alloc	14112		YES	604384		6		213472
850	free	836		YES	652928		5		237856
851	alloc	21344		YES	631584		5		237856
852	free	847		YES	746048		5		327936
853	free	835		YES	826912		6		327936
854	free	824		YES	850752		5		445920
855	alloc	56928		YES	793824		5		445920
856	alloc	126624		YES	667200		5		445920
857	free	827		YES	705312		5		445920
858	alloc	63584		YES	641728		5		445920
859	free	839		YES	692320		4		513792

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
860	free	841		YES	747200		4		513792
861	alloc	18912		YES	728288		4		513792
862	free	838		YES	747072		4		532576
863	alloc	111328		YES	635744		4		532576
864	alloc	113120		YES	522624		4		419456
865	alloc	59104		YES	463520		4		360352
866	alloc	2592		YES	460928		4		360352
867	alloc	800		YES	460128		4		360352
868	free	861		YES	479040		4		360352
869	alloc	92832		YES	386208		4		267520
870	alloc	125088		YES	261120		4		142432
871	alloc	124128		YES	136992		4		54784
872	free	867		YES	137792		4		54784
873	alloc	80736		NO	137792		4		54784
874	alloc	24736		YES	113056		4		54784
875	free	856		YES	239680		4		153120
876	free	849		YES	253792		4		153120
877	free	866		YES	256384		4		153120
878	alloc	58400		YES	197984		4		94720
879	alloc	7584		YES	190400		4		94720

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
880	free	863		YES	301728		3		260832
881	free	851		YES	323072		3		260832
882	free	870		YES	448160		4		260832
883	free	865		YES	507264		5		260832
884	free	858		YES	570848		6		260832
885	free	855		YES	627776		6		317760
886	alloc	117920		YES	509856		6		317760
887	alloc	14752		YES	495104		6		317760
888	free	871		YES	619232		6		317760
889	free	879		YES	626816		5		333824
890	free	878		YES	685216		5		392224
891	free	864		YES	798336		4		392224
892	free	874		YES	823072		3		455968
893	alloc	107744		YES	715328		3		455968
894	alloc	57568		YES	657760		3		455968
895	alloc	160		YES	657600		3		455968
896	alloc	58720		YES	598880		3		455968
897	free	869		YES	691712		3		455968
898	alloc	121440		YES	570272		3		455968
899	free	873		NO	570272		3		455968

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
900	alloc	38496		YES	531776		3		455968
901	free	895		YES	531936		3		455968
902	alloc	29344		YES	502592		3		455968
903	free	886		YES	620512		3		455968
904	free	887		YES	635264		2		494272
905	alloc	25120		YES	610144		2		494272
906	alloc	29984		YES	580160		2		494272
907	free	905		YES	605280		3		494272
908	free	893		YES	713024		2		687904
909	free	906		YES	743008		1		743008
910	alloc	59104		YES	683904		1		683904
911	free	896		YES	742624		2		683904
912	alloc	77344		YES	665280		2		606560
913	free	900		YES	703776		3		606560
914	alloc	25312		YES	678464		3		606560
915	alloc	14112		YES	664352		3		606560
916	free	894		YES	721920		4		606560
917	alloc	42336		YES	679584		4		606560
918	alloc	18976		YES	660608		4		606560
919	alloc	68192		YES	592416		4		538368

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
920	free	902		YES	621760		4		538368
921	free	919		YES	689952		4		606560
922	free	910		YES	749056		4		606560
923	alloc	25504		YES	723552		4		606560
924	free	898		YES	844992		4		606560
925	free	912		YES	922336		3		785536
926	alloc	4576		YES	917760		3		785536
927	free	918		YES	936736		4		785536
928	free	915		YES	950848		4		785536
929	alloc	126048		YES	824800		4		659488
930	free	929		YES	950848		4		785536
931	alloc	34464		YES	916384		4		785536
932	free	926		YES	920960		4		785536
933	alloc	22240		YES	898720		4		785536
934	alloc	30048		YES	868672		4		785536
935	free	914		YES	893984		3		870048
936	alloc	68704		YES	825280		3		801344
937	alloc	60768		YES	764512		3		740576
938	free	917		YES	806848		3		740576
939	alloc	126368		YES	680480		3		614208

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
940	alloc	110624		YES	569856		3		503584
941	alloc	57248		YES	512608		3		446336
942	free	933		YES	534848		3		446336
943	alloc	3360		YES	531488		3		446336
944	alloc	110496		YES	420992		3		335840
945	alloc	90400		YES	330592		3		245440
946	free	931		YES	365056		3		245440
947	free	945		YES	455456		3		335840
948	free	941		YES	512704		4		335840
949	alloc	50400		YES	462304		4		335840
950	alloc	52704		YES	409600		4		335840
951	alloc	116832		YES	292768		4		219008
952	free	939		YES	419136		5		219008
953	free	923		YES	444640		5		219008
954	alloc	16800		YES	427840		5		219008
955	alloc	101728		YES	326112		5		219008
956	alloc	37664		YES	288448		5		219008
957	free	954		YES	305248		5		219008
958	free	949		YES	355648		5		219008
959	free	943		YES	359008		5		219008

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
960	alloc	30368		YES	328640		5		219008
961	free	944		YES	439136		5		219008
962	alloc	32672		YES	406464		5		219008
963	free	936		YES	475168		6		219008
964	free	934		YES	505216		5		219008
965	free	937		YES	565984		5		219008
966	alloc	41184		YES	524800		5		219008
967	alloc	75168		YES	449632		5		219008
968	free	956		YES	487296		5		219008
969	free	940		YES	597920		5		219008
970	alloc	95456		YES	502464		5		219008
971	free	955		YES	604192		5		312544
972	alloc	76320		YES	527872		5		312544
973	free	972		YES	604192		5		312544
974	alloc	30944		YES	573248		5		312544
975	alloc	1376		YES	571872		5		312544
976	free	950		YES	624576		4		379360
977	free	951		YES	741408		3		379360
978	alloc	78880		YES	662528		3		379360
979	free	960		YES	692896		3		409728

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
980	alloc	13536		YES	679360		3		409728
981	alloc	90656		YES	588704		3		409728
982	free	980		YES	602240		4		409728
983	alloc	4640		YES	597600		4		409728
984	alloc	87840		YES	509760		4		409728
985	free	962		YES	542432		4		409728
986	alloc	26592		YES	515840		4		409728
987	alloc	42016		YES	473824		4		409728
988	free	975		YES	475200		5		409728
989	alloc	119072		YES	356128		5		290656
990	free	966		YES	397312		5		290656
991	free	967		YES	472480		5		290656
992	free	970		YES	567936		5		386112
993	free	974		YES	598880		4		418432
994	free	978		YES	677760		3		418432
995	free	981		YES	768416		3		418432
996	free	983		YES	773056		3		423072
997	free	984		YES	860896		3		423072
998	free	986		YES	887488		2		845856
999	free	987		YES	929504		1		929504

Seq #	Type	Size/Rq#	Done?	Free Total	Free Elems	Largest Chunk
1000	free	989		YES	1167648		2		1048576
